,Problem,,,Constructive Algorithm,,Local Search,,,GRASP,
Input Filename,|V|,|E|,randomised,simple_greedy,semi-greedy,Iterations,Best Value,Iterations,Best Value,Constructive Algorithm
set1/g1.rud,800,19176,11025,11297,11106,163,11358,50,11420,randomised
set1/g1.rud,800,19176,11025,11297,11106,74,11394,50,11463,simple_greedy
set1/g1.rud,800,19176,11025,11297,11106,124,11375,50,11462,semi-greedy
set1/g2.rud,800,19176,11009,11236,11113,162,11367,50,11461,randomised
set1/g2.rud,800,19176,11009,11236,11113,74,11405,50,11474,simple_greedy
set1/g2.rud,800,19176,11009,11236,11113,118,11369,50,11459,semi-greedy
set1/g3.rud,800,19176,11035,11276,11107,160,11353,50,11414,randomised
set1/g3.rud,800,19176,11035,11276,11107,69,11395,50,11474,simple_greedy
set1/g3.rud,800,19176,11035,11276,11107,123,11374,50,11463,semi-greedy
set1/g4.rud,800,19176,11037,11272,11132,171,11383,50,11489,randomised
set1/g4.rud,800,19176,11037,11272,11132,74,11405,50,11472,simple_greedy
set1/g4.rud,800,19176,11037,11272,11132,125,11391,50,11522,semi-greedy
set1/g5.rud,800,19176,11007,11285,11088,165,11355,50,11462,randomised
set1/g5.rud,800,19176,11007,11285,11088,72,11414,50,11490,simple_greedy
set1/g5.rud,800,19176,11007,11285,11088,124,11382,50,11480,semi-greedy
set1/g6.rud,800,19176,1532,1738,1577,175,1906,50,1975,randomised
set1/g6.rud,800,19176,1532,1738,1577,84,1936,50,2009,simple_greedy
set1/g6.rud,800,19176,1532,1738,1577,149,1913,50,2000,semi-greedy
set1/g7.rud,800,19176,1376,1573,1415,173,1743,50,1807,randomised
set1/g7.rud,800,19176,1376,1573,1415,94,1781,50,1856,simple_greedy
set1/g7.rud,800,19176,1376,1573,1415,145,1740,50,1823,semi-greedy
set1/g8.rud,800,19176,1379,1580,1456,180,1756,50,1846,randomised
set1/g8.rud,800,19176,1379,1580,1456,84,1771,50,1859,simple_greedy
set1/g8.rud,800,19176,1379,1580,1456,146,1751,50,1858,semi-greedy
set1/g9.rud,800,19176,1420,1634,1497,169,1780,50,1877,randomised
set1/g9.rud,800,19176,1420,1634,1497,88,1823,50,1901,simple_greedy
set1/g9.rud,800,19176,1420,1634,1497,154,1799,50,1886,semi-greedy
set1/g10.rud,800,19176,1353,1630,1425,176,1739,50,1810,randomised
set1/g10.rud,800,19176,1353,1630,1425,86,1765,50,1834,simple_greedy
set1/g10.rud,800,19176,1353,1630,1425,145,1738,50,1819,semi-greedy
set1/g11.rud,800,1600,409,464,423,16,441,50,462,randomised
set1/g11.rud,800,1600,409,464,423,6,484,50,502,simple_greedy
set1/g11.rud,800,1600,409,464,423,13,455,50,494,semi-greedy
set1/g12.rud,800,1600,397,448,413,16,428,50,454,randomised
set1/g12.rud,800,1600,397,448,413,5,473,50,492,simple_greedy
