Input Filename,|V|,|E|,randomised,simple_greedy,semi-greedy,Constructive Algorithm,Iterations,Best Value,Iterations,Best Value
set1/g1.rud,800,19176,11058,11276,11095,randomised,4,11313,50,11330
set1/g1.rud,800,19176,11058,11276,11095,simple_greedy,2,11459,50,11483
set1/g1.rud,800,19176,11058,11276,11095,semi-greedy,4,11386,50,11406
set1/g2.rud,800,19176,11010,11280,11116,randomised,5,11364,50,11369
set1/g2.rud,800,19176,11010,11280,11116,simple_greedy,2,11447,50,11459
set1/g2.rud,800,19176,11010,11280,11116,semi-greedy,5,11413,50,11416
set1/g3.rud,800,19176,11031,11259,11112,randomised,4,11404,50,11411
set1/g3.rud,800,19176,11031,11259,11112,simple_greedy,2,11378,50,11382
set1/g3.rud,800,19176,11031,11259,11112,semi-greedy,5,11423,50,11432
set1/g4.rud,800,19176,11046,11224,11113,randomised,5,11414,50,11433
set1/g4.rud,800,19176,11046,11224,11113,simple_greedy,3,11401,50,11416
set1/g4.rud,800,19176,11046,11224,11113,semi-greedy,4,11471,50,11476
set1/g5.rud,800,19176,10993,11299,11107,randomised,5,11396,50,11403
set1/g5.rud,800,19176,10993,11299,11107,simple_greedy,3,11475,50,11478
set1/g5.rud,800,19176,10993,11299,11107,semi-greedy,5,11380,50,11402
set1/g6.rud,800,19176,1522,1708,1622,randomised,4,1854,50,1859
set1/g6.rud,800,19176,1522,1708,1622,simple_greedy,2,2019,50,2023
set1/g6.rud,800,19176,1522,1708,1622,semi-greedy,5,1960,50,1964
set1/g7.rud,800,19176,1409,1549,1446,randomised,4,1722,50,1726
set1/g7.rud,800,19176,1409,1549,1446,simple_greedy,2,1771,50,1786
set1/g7.rud,800,19176,1409,1549,1446,semi-greedy,4,1803,50,1818
set1/g8.rud,800,19176,1388,1634,1447,randomised,4,1800,50,1803
set1/g8.rud,800,19176,1388,1634,1447,simple_greedy,3,1766,50,1785
set1/g8.rud,800,19176,1388,1634,1447,semi-greedy,4,1744,50,1761
set1/g9.rud,800,19176,1439,1665,1490,randomised,5,1767,50,1769
set1/g9.rud,800,19176,1439,1665,1490,simple_greedy,3,1825,50,1829
